0.25098,0.882353,0.831373,1,0.913725,0.984314,0.863636,0.0862745,1,0.0541273,0.966013,1,0.956863,0.890196,0.698039,0.933333
0.745098,0.0705882,0.0588235,0.988235,0.717647,0.945098,0.859903,0.273809,0.988235,0.18787,0.88366,0.92,0.852941,0.898039,0.694118,0.933333
0.427451,0.945098,0.945098,1,0.933333,0.984314,0.872549,0.0666667,1,0.0403226,0.972549,1,0.966667,0.886275,0.698039,0.941176
0.729412,0.917647,0.317647,0.996078,0.956863,0.992157,0.85,0.0393701,0.996078,0.0252995,0.981699,0.833333,0.976471,0.894118,0.690196,0.933333
0.658824,0.423529,0.258824,1,0.784314,0.956863,0.866667,0.215686,1,0.141631,0.913725,1,0.892157,0.886275,0.690196,0.933333
0.145098,0.705882,0.45098,0.94902,0.847059,0.976471,0.79798,0.13253,0.976471,0.0834513,0.924183,0.733334,0.911765,0.898039,0.701961,0.945098
0.972549,0.27451,0.054902,1,0.74902,0.952941,0.864583,0.25098,1,0.16836,0.900654,1,0.87451,0.898039,0.705882,0.941176
0.0705882,0.443137,0.788235,0.921569,0.792157,0.960784,0.794574,0.17551,0.960784,0.111437,0.891503,0.68254,0.876471,0.882353,0.698039,0.933333
0.988235,0.654902,0.768627,1,0.905882,0.984314,0.861111,0.0941176,1,0.0597015,0.963399,1,0.952941,0.890196,0.694118,0.937255
0.0431373,0.254902,0.152941,0.894118,0.72549,0.94902,0.792398,0.235537,0.94902,0.152672,0.856209,0.686747,0.837255,0.886275,0.701961,0.937255
0.639216,0.537255,0.843137,0.996078,0.85098,0.972549,0.86036,0.145669,0.996078,0.0945758,0.939869,0.948718,0.923529,0.886275,0.690196,0.933333
0.956863,0.592157,0.784314,1,0.858824,0.972549,0.865741,0.141176,1,0.0900277,0.943791,1,0.929412,0.890196,0.701961,0.941176
0.627451,0.486275,0.560784,1,0.823529,0.960784,0.87037,0.176471,1,0.112676,0.928105,1,0.911765,0.890196,0.701961,0.937255
